"Index" "VZ" "MRK" "CSCO" "PG" "JPM" "KO" "MSFT" "TRV" "NKE" "WBA" "MCD" "WMT" "HD" "BA" "AXP" "UTX" "PFE" "IBM" "CVX" "JNJ" "UNH" "MMM" "DIS" "INTC" "AAPL" "XOM" "CAT"
"1991-04-15" 3.925999 6.061467 0.152369 3.011187 1.641988 1.916739 1.141642 4.927372 0.040062 1.650691 4.467098 6.96557 2.606347 11.541781 2.443263 0.799811 0.521967 8.907729 3.288743 3.991699 1.062629 5.895171 6.188074 0.856253 0.310794 2.612707 1.431757
"1991-04-16" 3.887029 6.248081 0.16335 3.075711 1.704739 1.965432 1.126588 4.98799 0.040638 1.692863 4.547441 6.906538 2.617604 11.510841 2.633794 0.780918 0.526496 9.105679 3.309657 4.125438 1.112343 6.030692 6.414062 0.862185 0.320779 2.64015 1.597547
"1991-04-17" 3.828578 6.344841 0.17845 3.080013 1.840699 1.983138 1.119061 5.022628 0.042365 1.67479 4.547441 6.886866 2.651381 11.634614 2.678624 0.766223 0.524231 9.157766 3.320115 4.094574 1.099915 6.047632 6.434002 0.86614 0.315787 2.64015 1.593523
"1991-04-18" 3.818837 6.282639 0.177077 3.071411 1.798865 1.947724 1.104006 4.962013 0.043286 1.686838 4.499232 6.749125 2.606347 11.696498 2.622586 0.751528 0.514041 9.147349 3.314885 4.048281 1.096807 6.01375 6.367532 0.846365 0.304553 2.629173 1.625715
"1991-04-19" 3.789613 6.137495 0.174332 3.002583 1.76749 1.921164 1.076406 4.901394 0.043171 1.656716 4.434958 6.611389 2.555683 11.572733 2.510509 0.743131 0.503851 9.126517 3.273055 4.001986 1.062629 5.94599 6.234601 0.836478 0.297688 2.64015 1.593523
"1991-04-22" 3.809094 6.075291 0.167468 2.963867 1.704739 1.921164 1.024969 4.866756 0.043631 1.614545 4.499232 6.650742 2.578199 11.541781 2.432056 0.74943 0.504983 9.04316 3.236457 3.971121 1.034665 5.937522 6.221309 0.84241 0.307049 2.64015 1.577428
"1991-04-23" 3.818837 6.075291 0.170214 2.920851 1.76749 1.912311 1.019951 4.953354 0.044782 1.578399 4.483166 6.591712 2.617604 11.758385 2.376018 0.757826 0.503851 9.032748 3.273055 3.940255 0.991166 5.94599 6.327656 0.848343 0.307049 2.673083 1.569379
"1991-04-24" 3.799352 6.040733 0.177077 2.890739 1.757031 1.903458 1.033751 4.97933 0.045818 1.560325 4.531373 6.709774 2.679527 11.820266 2.443263 0.772521 0.494793 9.022326 3.304427 3.863098 0.988059 5.962932 6.274479 0.870095 0.303305 2.673083 1.553283
"1991-04-25" 3.731159 6.061467 0.171586 2.856325 1.757031 1.885752 1.011169 4.918712 0.045243 1.542251 4.467098 6.572035 2.634493 11.789327 2.364811 0.766223 0.500454 9.001493 3.25737 3.909394 0.963202 5.954464 6.121608 0.838455 0.292071 2.596239 1.537187
"1991-04-26" 3.750643 6.026908 0.167468 2.882136 1.736113 1.876899 1.011169 4.970672 0.044322 1.524178 4.418889 6.513004 2.645752 11.418005 2.342395 0.770422 0.506115 8.9494 3.226001 3.904248 1.01913 5.920581 6.114961 0.824613 0.292695 2.612707 1.529138
"1991-04-29" 3.760384 5.957794 0.15786 2.864928 1.746573 1.819352 0.98106 4.849436 0.043976 1.536228 4.338545 6.375267 2.611976 11.356121 2.308772 0.768323 0.492528 8.741035 3.210315 3.899105 0.99738 5.929051 6.108315 0.796928 0.290823 2.596239 1.525114
"1991-04-30" 3.896772 5.957794 0.16335 2.886438 1.715197 1.868044 0.993605 4.884071 0.043746 1.578399 4.306408 6.375267 2.589458 11.325178 2.241525 0.772521 0.493661 8.58476 3.381903 3.888819 0.978738 6.039161 6.121608 0.779131 0.274597 2.612707 1.533163
"1991-05-01" 3.906512 6.165139 0.164723 2.877834 1.704739 1.921164 1.011169 4.832118 0.044437 1.548277 4.370684 6.473651 2.668269 11.263295 2.353603 0.776719 0.515173 8.668104 3.414685 3.960833 1.006701 6.01375 6.254541 0.767265 0.235904 2.651129 1.569379
"1991-05-02" 3.828578 6.241171 0.168841 2.877834 1.683821 1.925591 1.00866 4.71088 0.044782 1.548277 4.386754 6.513004 2.685156 11.356121 2.387225 0.768323 0.516306 8.824379 3.403756 3.87853 1.031558 5.996809 6.267836 0.76331 0.244641 2.618196 1.589499
"1991-05-03" 3.789613 6.379401 0.168841 2.86923 1.662904 1.952152 1.016187 4.814796 0.044897 1.536228 4.306408 6.513004 2.657009 11.541781 2.297565 0.762025 0.523099 8.636849 3.381903 3.87853 1.034665 5.962932 6.414062 0.767265 0.244641 2.601727 1.617668
"1991-05-06" 3.789613 6.434693 0.172959 2.847723 1.631528 1.956578 1.031242 4.780158 0.044897 1.536228 4.274271 6.473651 2.662638 11.634614 2.263942 0.757826 0.521967 9.038151 3.431075 3.868242 1.090594 5.94599 6.500469 0.783085 0.250882 2.585262 1.601572
"1991-05-07" 3.750643 6.496897 0.172959 2.826214 1.641988 1.938871 1.016187 4.71088 0.044667 1.560325 4.322478 6.414622 2.623234 11.634614 2.252734 0.751528 0.515173 8.907008 3.409223 3.873387 1.1372 5.91211 6.374181 0.794951 0.252754 2.651049 1.633764
"1991-05-08" 3.7409 6.46925 0.171586 2.847723 1.652447 1.938871 1.033751 4.728198 0.042595 1.542251 4.370684 6.296559 2.634493 11.665557 2.174281 0.759926 0.507248 9.070942 3.392829 3.852808 1.118557 5.94599 6.367532 0.814725 0.248386 2.679802 1.657908
"1991-05-09" 3.643481 6.572925 0.174332 2.864928 1.673363 1.983138 1.061351 4.745517 0.04294 1.590448 4.40282 6.611389 2.702045 11.913097 2.219111 0.764124 0.526496 9.256732 3.403756 3.919682 1.112343 6.089982 6.553641 0.862185 0.253378 2.74306 1.682052
"1991-05-10" 3.546065 6.545273 0.168841 2.834818 1.621069 1.938871 1.031242 4.69356 0.041444 1.554301 4.354615 6.296559 2.640122 11.634614 2.140657 0.762025 0.520835 9.038151 3.283561 3.837379 1.093701 5.988342 6.427356 0.838455 0.255875 2.662551 1.669981
